pkt,sample_idx,ant_array,ant_num,channel,rssi,i,q
60,488,2,0,35,-75,157,-128
60,489,2,0,35,-75,204,-47
60,490,2,0,35,-75,211,33
60,491,2,0,35,-75,180,119
60,492,2,0,35,-75,119,180
60,493,2,0,35,-75,26,215
60,494,2,0,35,-75,-58,210
60,495,2,0,35,-75,-135,162
60,504,2,1,35,-75,139,-184
60,505,2,1,35,-75,201,-123
60,506,2,1,35,-75,239,-28
60,507,2,1,35,-75,232,64
60,508,2,1,35,-75,179,153
60,509,2,1,35,-75,102,209
60,510,2,1,35,-75,-4,231
60,511,2,1,35,-75,-99,211
73,200,1,2,20,-84,2,-69
73,201,1,2,20,-84,31,-61
73,202,1,2,20,-84,60,-42
73,203,1,2,20,-84,77,-18
73,204,1,2,20,-84,82,13
73,205,1,2,20,-84,69,39
73,206,1,2,20,-84,41,60
73,207,1,2,20,-84,-1,74
73,216,1,0,20,-84,51,-29
73,217,1,0,20,-84,59,3
73,218,1,0,20,-84,54,30
73,219,1,0,20,-84,36,53
73,220,1,0,20,-84,13,64
73,221,1,0,20,-84,-12,63
73,222,1,0,20,-84,-29,52
73,223,1,0,20,-84,-43,34
74,328,1,1,20,-84,-101,56
74,329,1,1,20,-84,-111,11
74,330,1,1,20,-84,-98,-40
74,331,1,1,20,-84,-73,-76
74,332,1,1,20,-84,-34,-100
74,333,1,1,20,-84,4,-105
74,334,1,1,20,-84,40,-95
74,335,1,1,20,-84,75,-67
74,344,1,2,20,-84,-77,-2
74,345,1,2,20,-84,-68,-34
74,346,1,2,20,-84,-49,-58
74,347,1,2,20,-84,-19,-71
74,348,1,2,20,-84,11,-67
74,349,1,2,20,-84,43,-49
74,350,1,2,20,-84,65,-25
74,351,1,2,20,-84,75,3
75,232,1,0,20,-84,92,-46
75,233,1,0,20,-84,102,-7
75,234,1,0,20,-84,94,39
75,235,1,0,20,-84,72,74
75,236,1,0,20,-84,33,99
75,237,1,0,20,-84,-8,104
75,238,1,0,20,-84,-49,90
75,239,1,0,20,-84,-84,54
75,248,1,1,20,-84,73,12
75,249,1,1,20,-84,68,40
